time,hour,month,day_of_week,temperature,solar_radiation,wind_speed,carbon_intensity
2023-01-01 01:00:00+00:00,1,1,6,11.9,0.0,31.1,67.5
2023-01-01 02:00:00+00:00,2,1,6,11.0,0.0,31.4,62.5
2023-01-01 03:00:00+00:00,3,1,6,10.4,0.0,30.7,64.5
2023-01-01 04:00:00+00:00,4,1,6,10.2,0.0,27.7,69.0
2023-01-01 05:00:00+00:00,5,1,6,10.1,0.0,27.8,69.5
2023-01-01 06:00:00+00:00,6,1,6,9.8,0.0,27.0,70.0
2023-01-01 07:00:00+00:00,7,1,6,9.8,0.0,25.9,72.0
2023-01-01 08:00:00+00:00,8,1,6,9.8,0.0,25.9,74.5
2023-01-01 09:00:00+00:00,9,1,6,10.1,15.0,25.9,73.5
2023-01-01 10:00:00+00:00,10,1,6,10.8,71.0,27.2,72.5
2023-01-01 11:00:00+00:00,11,1,6,11.4,126.0,28.2,77.0
2023-01-01 12:00:00+00:00,12,1,6,11.4,144.0,22.2,79.5
2023-01-01 13:00:00+00:00,13,1,6,11.4,154.0,25.0,83.5
2023-01-01 14:00:00+00:00,14,1,6,10.9,80.0,23.4,96.0
2023-01-01 15:00:00+00:00,15,1,6,10.6,55.0,18.7,124.0
2023-01-01 16:00:00+00:00,16,1,6,10.3,7.0,18.2,142.0
2023-01-01 17:00:00+00:00,17,1,6,10.1,0.0,14.5,151.0
2023-01-01 18:00:00+00:00,18,1,6,9.8,0.0,11.1,150.0
2023-01-01 19:00:00+00:00,19,1,6,9.5,0.0,7.9,151.0
2023-01-01 20:00:00+00:00,20,1,6,9.1,0.0,4.9,151.5
2023-01-01 21:00:00+00:00,21,1,6,8.9,0.0,5.3,148.0
2023-01-01 22:00:00+00:00,22,1,6,8.6,0.0,5.4,139.0
2023-01-01 23:00:00+00:00,23,1,6,8.5,0.0,6.6,139.0
2023-01-02 00:00:00+00:00,0,1,0,7.9,0.0,5.1,133.5
2023-01-02 01:00:00+00:00,1,1,0,7.5,0.0,7.6,119.0
2023-01-02 02:00:00+00:00,2,1,0,6.7,0.0,9.3,116.0
2023-01-02 03:00:00+00:00,3,1,0,6.8,0.0,12.5,111.0
2023-01-02 04:00:00+00:00,4,1,0,7.4,0.0,15.5,114.5
2023-01-02 05:00:00+00:00,5,1,0,7.3,0.0,12.8,113.0
2023-01-02 06:00:00+00:00,6,1,0,7.2,0.0,12.5,129.5
2023-01-02 07:00:00+00:00,7,1,0,6.8,0.0,11.5,144.0
2023-01-02 08:00:00+00:00,8,1,0,6.1,0.0,9.3,153.0
2023-01-02 09:00:00+00:00,9,1,0,6.6,15.0,10.1,157.0
2023-01-02 10:00:00+00:00,10,1,0,7.4,55.0,11.5,144.5
2023-01-02 11:00:00+00:00,11,1,0,7.8,130.0,12.2,147.5
2023-01-02 12:00:00+00:00,12,1,0,8.1,151.0,9.8,143.0
2023-01-02 13:00:00+00:00,13,1,0,8.3,212.0,11.4,153.5
2023-01-02 14:00:00+00:00,14,1,0,8.0,194.0,11.6,159.5
2023-01-02 15:00:00+00:00,15,1,0,7.2,119.0,8.0,182.5
2023-01-02 16:00:00+00:00,16,1,0,4.1,33.0,9.5,186.0
2023-01-02 17:00:00+00:00,17,1,0,3.1,0.0,9.2,194.5
2023-01-02 18:00:00+00:00,18,1,0,2.2,0.0,9.9,194.5
2023-01-02 19:00:00+00:00,19,1,0,1.6,0.0,10.1,195.5
2023-01-02 20:00:00+00:00,20,1,0,1.2,0.0,10.1,188.5
2023-01-02 21:00:00+00:00,21,1,0,1.4,0.0,9.8,170.5
2023-01-02 22:00:00+00:00,22,1,0,0.9,0.0,10.7,134.5
2023-01-02 23:00:00+00:00,23,1,0,1.2,0.0,10.1,101.5
2023-01-03 00:00:00+00:00,0,1,1,2.2,0.0,8.4,97.0
2023-01-03 01:00:00+00:00,1,1,1,3.2,0.0,8.7,94.5
2023-01-03 02:00:00+00:00,2,1,1,3.2,0.0,8.7,92.5
2023-01-03 03:00:00+00:00,3,1,1,3.8,0.0,8.5,84.5
2023-01-03 04:00:00+00:00,4,1,1,4.4,0.0,8.4,75.5
2023-01-03 05:00:00+00:00,5,1,1,4.9,0.0,10.0,77.5
2023-01-03 06:00:00+00:00,6,1,1,5.6,0.0,12.3,79.5
2023-01-03 07:00:00+00:00,7,1,1,6.1,0.0,14.9,97.0
2023-01-03 08:00:00+00:00,8,1,1,7.7,0.0,20.3,110.5
2023-01-03 09:00:00+00:00,9,1,1,8.9,5.0,24.1,112.5
2023-01-03 10:00:00+00:00,10,1,1,9.3,35.0,28.2,114.0
2023-01-03 11:00:00+00:00,11,1,1,9.4,66.0,30.6,114.0
2023-01-03 12:00:00+00:00,12,1,1,9.6,49.0,30.1,114.5
2023-01-03 13:00:00+00:00,13,1,1,10.1,55.0,32.2,114.5
2023-01-03 14:00:00+00:00,14,1,1,10.5,46.0,32.3,121.5
2023-01-03 15:00:00+00:00,15,1,1,10.4,16.0,30.2,129.0
2023-01-03 16:00:00+00:00,16,1,1,10.6,3.0,31.8,128.0
